City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zaragoza,41.6561,-0.8773,64.49,57,75,4.61,ES,1711677942
1,fale old settlement,-9.3852,-171.2468,85.84,74,46,15.03,TK,1711677942
2,port-aux-francais,-49.35,70.2167,40.84,75,98,8.21,TF,1711677942
3,sovetskiy,61.3614,63.5842,12.29,92,100,10.22,RU,1711677942
4,adamstown,-25.066,-130.1015,76.19,74,39,18.28,PN,1711677942
5,hamilton,39.1834,-84.5333,50.97,54,20,8.05,US,1711677943
6,anadyr,64.75,177.4833,9.1,84,75,15.66,RU,1711677876
7,inarajan village,13.2736,144.7484,88.77,84,55,13.38,GU,1711677943
8,cuyo,10.8525,121.0086,83.12,79,70,4.21,PH,1711677943
9,stanley,54.868,-1.6985,42.53,92,75,8.05,GB,1711677812
10,east london,-33.0153,27.9116,67.17,85,14,12.62,ZA,1711677944
11,grytviken,-54.2811,-36.5092,35.4,83,47,9.66,GS,1711677944
12,ilulissat,69.2167,-51.1,10.42,85,1,2.3,GL,1711677944
13,arraial do cabo,-22.9661,-42.0278,74.01,92,100,17.72,BR,1711677831
14,acapulco de juarez,16.8634,-99.8901,75.02,88,0,5.75,MX,1711677839
15,dryden,49.7833,-92.7503,28.69,59,100,5.75,CA,1711677729
16,kone,-21.0595,164.8658,80.11,71,71,9.24,NC,1711677945
17,bayside,40.8424,-124.0637,53.15,84,75,11.5,US,1711677945
18,wailua homesteads,22.0669,-159.378,81.03,68,0,19.57,US,1711677945
19,okhotsk,59.3833,143.3,28.06,87,100,17.87,RU,1711677945
20,ushuaia,-54.8,-68.3,46.06,53,75,18.41,AR,1711677772
21,vila franca do campo,37.7167,-25.4333,54.01,70,100,22.3,PT,1711677946
22,la ronge,55.1001,-105.2842,26.85,43,100,9.22,CA,1711677798
23,ballina,-28.8667,153.5667,77.77,78,48,7.54,AU,1711677946
24,naliya,23.2667,68.8333,74.97,73,100,8.19,IN,1711677946
25,lebu,-37.6167,-73.65,57.67,87,1,9.89,CL,1711677685
26,bullsbrook,-31.6667,116.0,75.54,66,15,5.75,AU,1711677946
27,udachny,66.4167,112.4,-7.83,90,91,9.17,RU,1711677721
28,puerto aysen,-45.4,-72.7,51.49,99,100,5.68,CL,1711677947
29,namibe,-15.1961,12.1522,77.52,75,4,4.7,AO,1711677947
30,invercargill,-46.4,168.35,52.02,90,100,5.99,NZ,1711677722
31,carnarvon,-24.8667,113.6333,83.14,41,0,15.32,AU,1711677947
32,utrik,11.2278,169.8474,81.01,75,100,14.61,MH,1711677947
33,iqaluit,63.7506,-68.5145,-2.47,78,75,0.0,CA,1711677947
34,edinburgh of the seven seas,-37.0676,-12.3116,64.62,90,18,28.01,SH,1711677948
35,badger,64.8,-147.5333,36.36,72,75,0.0,US,1711677948
36,benghazi,32.1167,20.0667,60.98,72,1,8.95,LY,1711677948
37,fort bragg,35.139,-79.006,51.82,92,0,0.0,US,1711677948
38,yuzhno-kurilsk,44.0306,145.8556,34.38,74,100,25.75,RU,1711677949
39,viedma,-40.8135,-62.9967,69.4,60,44,16.02,AR,1711677949
40,polyarnyy,69.1989,33.4478,22.23,89,67,13.49,RU,1711677949
41,tocopilla,-22.092,-70.1979,72.63,74,16,5.48,CL,1711677949
42,albany,42.6001,-73.9662,41.41,63,100,13.0,US,1711677742
43,kodiak,57.79,-152.4072,38.71,48,0,5.75,US,1711677949
44,portland,45.5234,-122.6762,48.74,88,100,12.66,US,1711677894
45,whitehorse,60.7161,-135.0538,47.17,34,40,6.91,CA,1711677676
46,santa isabel,-23.3156,-46.2214,69.1,98,31,1.72,BR,1711677726
47,bandon,51.7469,-8.7425,42.39,93,67,5.79,IE,1711677897
48,taishan,22.2514,112.7799,81.46,63,100,2.06,CN,1711677950
49,cidreira,-30.1811,-50.2056,74.12,86,100,16.75,BR,1711677951
